Search query: genomics,
Year,Count
2022,35635
2021,109620
2020,101577
2019,94037
2018,87857
2017,85799
2016,86118
2015,83958
2014,80168
2013,74218
2012,72105
2011,67022
2010,61881
2009,57508
2008,55662
2007,52936
2006,50849
2005,48523
2004,45703
2003,41354
2002,38104
2001,37175
2000,35478
1999,31436
1998,29892
1997,28664
1996,27314
1995,26899
1994,25236
1993,23278
1992,20590
1991,18750
1990,17046
1989,15490
1988,13087
1987,11624
1986,9628
1985,8462
1984,7585
1983,6541
1982,5626
1981,4827
1980,4494
1979,4096
1978,3721
1977,3321
1976,3240
1975,2954
1974,2732
1973,2170
1972,1959
1971,1778
1970,1354
1969,1192
1968,931
1967,591
1966,390
1965,259
1964,217
1963,58
1962,35
1961,32
1960,18
1959,13
1958,26
1957,16
1956,8
1955,4
1954,10
1953,14
1952,5
1951,11
1950,10
1949,8
1948,16
1947,15
1946,17
1943,1
